flow_title,flow_notes,flow_account_name,flow_amount,flow_date_of_transaction,flow_time_of_transaction_optional,flow_date_of_transaction_iso_8601,flow_category_optional
Partido River,,Principal,-42000.00,2026-04-12,19:27:12,,Entretenimiento
Starbucks,,Principal,-8100.00,2026-04-13,09:28:54,,Bebidas
Cabify,,Principal,-9858.00,2026-04-13,11:49:48,,Transporte
Seguro del auto,,Principal,-86000.00,2026-04-14,10:00:00,,Seguros
Cuervo café,,Efectivo,-5800.00,2026-04-14,11:33:43,,Bebidas
Easy,,Principal,-72688.00,2026-04-14,13:14:57,,Compras
Cabify,,Principal,-7435.00,2026-04-14,13:39:47,,Transporte
Carrefour,,Principal,-66911.00,2026-04-14,15:33:15,,Compra
Medialunas,,Efectivo,-3741.00,2026-04-14,17:28:24,,Aperitivos
Cuervo café,,Principal,-5800.00,2026-04-15,10:20:57,,Bebidas
Freelance USD,Cliente en el exterior,Dólares,327.94,2026-04-15,17:40:00,,Nómina
Colectivo,,Principal,-1538.00,2026-04-15,18:10:12,,Transporte
Reintegro OSDE,,Principal,43237.00,2026-04-16,11:05:00,,Nómina
Havanna café,,Efectivo,-7400.00,2026-04-17,11:23:21,,Bebidas
Personal móvil,,Principal,-28400.00,2026-04-18,09:45:00,,Suministros
Cuervo café,,Principal,-5800.00,2026-04-18,10:07:52,,Bebidas
Disco,,Principal,-45025.00,2026-04-18,11:08:14,,Compra
El Club de la Milanesa,,Principal,-34308.00,2026-04-18,18:40:28,,Comer fuera
Reintegro PedidosYa,,Principal,61111.00,2026-04-19,14:04:58,,Nómina
Carrefour,,Principal,-97563.00,2026-04-19,15:20:13,,Compra
Regalo familia,,Efectivo,45000.00,2026-04-19,18:00:00,,Nómina
Museo MALBA,,Principal,-6000.00,2026-04-19,20:33:39,,Entretenimiento
Colectivo,,Efectivo,-1828.00,2026-04-19,20:52:22,,Transporte
Café Martínez,,Efectivo,-6200.00,2026-04-20,11:12:06,,Bebidas
Easy,,Principal,-37274.00,2026-04-20,12:12:48,,Compras
Edenor luz,,Principal,-48280.00,2026-04-20,14:10:00,,Suministros
El Club de la Milanesa,,Principal,-54950.00,2026-04-20,19:43:00,,Comer fuera
Havanna café,,Principal,-7400.00,2026-04-21,11:50:42,,Bebidas
Carrefour,,Principal,-60629.00,2026-04-21,15:59:36,,Compra
Ninina,,Principal,-9200.00,2026-04-22,08:10:55,,Bebidas
AySA agua,,Principal,-18500.00,2026-04-22,13:00:00,,Suministros
Starbucks,,Principal,-8100.00,2026-04-23,10:46:02,,Bebidas
Heladería Chungo,,Principal,-3525.00,2026-04-23,19:51:38,,Aperitivos
SUBE subte,,Principal,-1525.00,2026-04-23,21:22:55,,Transporte
Rappi,,Principal,-23400.00,2026-04-24,14:23:43,,Comer fuera
Manicura,,Principal,-18957.00,2026-04-24,16:55:40,,Belleza
Sueldo,,Principal,3183578.91,2026-04-25,09:15:00,,Nómina
Extracción cajero,,Principal,-80000.00,2026-04-25,12:30:00,,
Extracción cajero,,Efectivo,80000.00,2026-04-25,12:30:00,,
Ahorro mensual,,Principal,-350000.00,2026-04-25,12:35:00,,
Ahorro mensual,,Ahorros,350000.00,2026-04-25,12:35:00,,
Proyecto puntual,,Principal,182186.00,2026-04-25,12:39:30,,Nómina
Ninina,,Efectivo,-9200.00,2026-04-27,11:20:01,,Bebidas
Recital Niceto,,Principal,-28000.00,2026-04-27,18:04:13,,Entretenimiento
Cuervo café,,Efectivo,-5800.00,2026-04-28,08:22:27,,Bebidas
Manicura,,Principal,-13580.00,2026-04-28,11:08:38,,Belleza
SUBE subte,,Efectivo,-1208.00,2026-04-28,15:39:47,,Transporte
Reintegro PedidosYa,,Principal,37012.00,2026-04-28,19:30:53,,Nómina
Siga la Vaca,,Principal,-35342.00,2026-04-28,20:28:39,,Comer fuera
Burger King,,Efectivo,-34740.00,2026-04-30,14:10:52,,Comer fuera
Coto,,Principal,-116325.00,2026-04-30,15:47:01,,Compra
Zara,,Principal,-94860.00,2026-04-30,15:50:23,,Compras
Panadería,,Efectivo,-3576.00,2026-04-30,16:10:29,,Aperitivos
Interés caja de ahorro,,Ahorros,8022.02,2026-04-30,23:50:00,,Nómina
Alquiler departamento,"Palermo, CABA",Principal,-850000.00,2026-05-01,08:15:00,,Alquiler
Smart Fit,,Principal,-55000.00,2026-05-01,08:20:00,,Fitness
Café Martínez,,Efectivo,-6200.00,2026-05-01,11:19:15,,Bebidas
Colectivo,,Efectivo,-1613.00,2026-05-01,11:53:33,,Transporte
iCloud+,,Principal,-2499.00,2026-05-02,00:05:12,,Suscripciones online
Cuervo café,,Principal,-5800.00,2026-05-02,09:09:23,,Bebidas
Recital Niceto,,Principal,-28000.00,2026-05-02,15:35:51,,Entretenimiento
Jumbo,,Principal,-63655.00,2026-05-02,18:56:30,,Compra
Uniqlo,,Principal,-54401.00,2026-05-02,19:25:13,,Compras
Cabify,,Principal,-12814.00,2026-05-03,08:20:17,,Transporte
Ninina,,Principal,-9200.00,2026-05-03,08:59:48,,Bebidas
Día,,Principal,-76260.00,2026-05-03,18:53:02,,Compra
Havanna café,,Principal,-7400.00,2026-05-04,11:20:54,,Bebidas
Netflix,,Principal,-12999.00,2026-05-05,00:08:40,,Suscripciones online
Farmacity,,Principal,-14510.00,2026-05-05,12:33:19,,Salud
Fibertel internet,,Principal,-45000.00,2026-05-06,10:00:00,,Suministros
Havanna café,,Efectivo,-7400.00,2026-05-06,11:08:29,,Bebidas
Havanna café,,Efectivo,-7400.00,2026-05-07,11:22:18,,Bebidas
Cabify,,Efectivo,-15712.00,2026-05-07,15:22:29,,Transporte
Reintegro PedidosYa,,Principal,25935.00,2026-05-07,18:26:00,,Nómina
Cabify,,Principal,-15337.00,2026-05-08,07:43:02,,Transporte
Havanna café,,Efectivo,-7400.00,2026-05-08,10:37:28,,Bebidas
Extracción efectivo,,Principal,-40000.00,2026-05-08,14:14:08,,
Extracción efectivo,,Efectivo,40000.00,2026-05-08,14:14:08,,
Freelance diseño,,Principal,404634.00,2026-05-08,16:20:00,,Nómina
Uniqlo,,Principal,-84858.00,2026-05-08,18:56:31,,Compras
Steam,,Dólares,-14.99,2026-05-08,21:12:00,,Aficiones
El Club de la Milanesa,,Principal,-18853.00,2026-05-08,22:02:59,,Comer fuera
Spotify,,Principal,-7999.00,2026-05-09,00:03:21,,Suscripciones online
Uber,,Principal,-8175.00,2026-05-09,13:49:28,,Transporte
Pet shop,,Principal,-14070.00,2026-05-09,16:33:13,,Cuidado de mascotas
Coto,,Principal,-42468.00,2026-05-09,17:17:49,,Compra
Donación mensual,Cruz Roja Argentina,Principal,-8000.00,2026-05-10,11:30:00,,Donaciones
Carrefour,,Principal,-112361.00,2026-05-10,16:11:47,,Compra
Heladería Chungo,,Efectivo,-4919.00,2026-05-10,16:49:27,,Aperitivos
Havanna café,,Efectivo,-7400.00,2026-05-11,09:21:02,,Bebidas
Disco,,Principal,-49974.00,2026-05-11,18:16:43,,Compra
ChatGPT Plus,,Principal,-24900.00,2026-05-12,00:12:00,,Suscripciones online
Starbucks,,Principal,-8100.00,2026-05-12,10:46:26,,Bebidas
SUBE subte,,Efectivo,-2199.00,2026-05-12,15:41:54,,Transporte
Starbucks,,Efectivo,-8100.00,2026-05-13,10:44:21,,Bebidas
Museo MALBA,,Principal,-6000.00,2026-05-13,20:17:31,,Entretenimiento
BA Taxi,,Efectivo,-11764.00,2026-05-13,20:25:27,,Transporte
Uber,,Principal,-16269.00,2026-05-14,16:30:37,,Transporte
Jumbo,,Principal,-44912.00,2026-05-15,13:52:21,,Compra
Freelance USD,Cliente en el exterior,Dólares,324.25,2026-05-15,17:40:00,,Nómina
Reintegro OSDE,,Principal,42832.00,2026-05-16,11:05:00,,Nómina
El Club de la Milanesa,,Principal,-25404.00,2026-05-17,14:03:05,,Comer fuera
Carrefour,,Principal,-68459.00,2026-05-17,14:52:12,,Compra
Ninina,,Principal,-9200.00,2026-05-18,09:27:46,,Bebidas
Personal móvil,,Principal,-28400.00,2026-05-18,09:45:00,,Suministros
SUBE subte,,Principal,-1960.00,2026-05-18,19:00:07,,Transporte
Cuervo café,,Principal,-5800.00,2026-05-19,11:51:32,,Bebidas
Farmacity higiene,,Principal,-21806.00,2026-05-19,12:36:40,,Higiene
BA Taxi,,Efectivo,-14859.00,2026-05-19,13:29:09,,Transporte
Easy,,Principal,-53394.00,2026-05-19,13:47:26,,Compras
Disco,,Principal,-65777.00,2026-05-19,19:02:28,,Compra
Veterinaria,,Principal,-42930.00,2026-05-20,11:41:16,,Cuidado de mascotas
Axion,,Principal,-53141.00,2026-05-20,13:12:37,,Gasolina
Edenor luz,,Principal,-49062.00,2026-05-20,14:10:00,,Suministros
Disco,,Principal,-90745.00,2026-05-20,16:24:12,,Compra
Regalo mamá,Día de la Madre,Principal,-42000.00,2026-05-20,17:59:41,,Regalos
Siga la Vaca,,Principal,-40073.00,2026-05-20,20:26:00,,Comer fuera
Starbucks,,Principal,-8100.00,2026-05-21,09:24:33,,Bebidas
Cuervo café,,Efectivo,-5800.00,2026-05-22,11:39:02,,Bebidas
AySA agua,,Principal,-18500.00,2026-05-22,13:00:00,,Suministros
Jumbo,,Principal,-90135.00,2026-05-22,13:40:15,,Compra
Extracción efectivo,,Principal,-40000.00,2026-05-22,13:52:49,,
Extracción efectivo,,Efectivo,40000.00,2026-05-22,13:52:49,,
Cabify,,Efectivo,-8500.00,2026-05-22,18:57:05,,Transporte
Corte de pelo,,Principal,-16310.00,2026-05-22,19:40:25,,Belleza
Libros Gandhi,,Principal,-39230.00,2026-05-22,20:01:41,,Aficiones
Mostaza,,Principal,-25227.00,2026-05-23,15:52:57,,Comer fuera
Falabella,,Principal,-56117.00,2026-05-24,14:32:26,,Compras
Axion,,Principal,-54473.00,2026-05-24,15:42:11,,Gasolina
Jumbo,,Principal,-118226.00,2026-05-24,16:11:14,,Compra
Heladería Chungo,,Efectivo,-5517.00,2026-05-24,16:32:40,,Aperitivos
Sueldo,,Principal,3214323.73,2026-05-25,09:15:00,,Nómina
Café Martínez,,Efectivo,-6200.00,2026-05-25,10:27:41,,Bebidas
Extracción cajero,,Principal,-80000.00,2026-05-25,12:30:00,,
Extracción cajero,,Efectivo,80000.00,2026-05-25,12:30:00,,
Ahorro mensual,,Principal,-350000.00,2026-05-25,12:35:00,,
Ahorro mensual,,Ahorros,350000.00,2026-05-25,12:35:00,,
Proyecto puntual,,Principal,294920.00,2026-05-25,14:23:13,,Nómina
Café Martínez,,Principal,-6200.00,2026-05-26,11:04:11,,Bebidas
Axion,,Principal,-42136.00,2026-05-26,14:30:06,,Gasolina
Starbucks,,Efectivo,-8100.00,2026-05-27,10:21:46,,Bebidas
Carrefour,,Principal,-108994.00,2026-05-27,18:15:58,,Compra
BA Taxi,,Efectivo,-13515.00,2026-05-27,22:07:57,,Transporte
Uber,,Principal,-14265.00,2026-05-28,07:27:05,,Transporte
Carrefour,,Principal,-45000.00,2026-05-28,12:06:46,,Compra
Café Martínez,,Efectivo,-6200.00,2026-05-29,09:30:42,,Bebidas
Uber,,Principal,-7874.00,2026-05-29,21:17:00,,Transporte
YPF,,Principal,-53947.00,2026-05-30,10:02:54,,Gasolina
Steam oferta,,Principal,-8999.00,2026-05-30,17:26:58,,Entretenimiento
Siga la Vaca,,Principal,-27135.00,2026-05-30,18:31:08,,Comer fuera
Ninina,,Principal,-9200.00,2026-05-31,08:03:13,,Bebidas
PedidosYa,,Principal,-32665.00,2026-05-31,15:52:31,,Comer fuera
Partido River,,Principal,-42000.00,2026-05-31,18:13:32,,Entretenimiento
Interés caja de ahorro,,Ahorros,9167.69,2026-05-31,23:50:00,,Nómina
Alquiler departamento,"Palermo, CABA",Principal,-850000.00,2026-06-01,08:15:00,,Alquiler
Smart Fit,,Principal,-55000.00,2026-06-01,08:20:00,,Fitness
Starbucks,,Principal,-8100.00,2026-06-01,09:37:54,,Bebidas
Pet shop,,Principal,-14276.00,2026-06-01,12:43:40,,Cuidado de mascotas
SUBE subte,,Efectivo,-1582.00,2026-06-01,15:48:33,,Transporte
Heladería Chungo,,Efectivo,-5897.00,2026-06-01,16:50:16,,Aperitivos
Don Julio (barra),,Principal,-25112.00,2026-06-01,18:42:12,,Comer fuera
iCloud+,,Principal,-2499.00,2026-06-02,00:05:12,,Suscripciones online
Havanna café,,Principal,-7400.00,2026-06-02,11:38:51,,Bebidas
Ninina,,Efectivo,-9200.00,2026-06-03,08:05:30,,Bebidas
Supermercado limpieza,,Principal,-19596.00,2026-06-03,10:00:17,,Higiene
Kiosco,,Efectivo,-5529.00,2026-06-03,17:36:33,,Aperitivos
SUBE subte,,Efectivo,-1270.00,2026-06-04,07:36:50,,Transporte
Cuervo café,,Principal,-5800.00,2026-06-04,08:16:20,,Bebidas
Siga la Vaca,,Principal,-20039.00,2026-06-04,14:46:34,,Comer fuera
Alimento Royal Canin,,Principal,-32757.00,2026-06-04,15:12:32,,Cuidado de mascotas
Netflix,,Principal,-12999.00,2026-06-05,00:08:40,,Suscripciones online
Starbucks,,Principal,-8100.00,2026-06-05,09:54:06,,Bebidas
Extracción efectivo,,Principal,-40000.00,2026-06-05,13:50:47,,
Extracción efectivo,,Efectivo,40000.00,2026-06-05,13:50:47,,
Veterinaria,,Principal,-18913.00,2026-06-05,14:33:55,,Cuidado de mascotas
YPF,,Principal,-56216.00,2026-06-05,17:44:10,,Gasolina
Starbucks,,Principal,-8100.00,2026-06-06,09:39:09,,Bebidas
Fibertel internet,,Principal,-45000.00,2026-06-06,10:00:00,,Suministros
Don Julio (barra),,Efectivo,-27384.00,2026-06-06,19:36:05,,Comer fuera
Guitar Center strings,,Principal,-30203.00,2026-06-06,20:42:29,,Aficiones
Corte de pelo,,Principal,-16877.00,2026-06-08,13:45:35,,Belleza
Freelance diseño,,Principal,318123.00,2026-06-08,16:20:00,,Nómina
Venta Mercado Libre,,Principal,59680.00,2026-06-08,19:06:20,,Nómina
Colectivo,,Efectivo,-1516.00,2026-06-08,22:11:57,,Transporte
Spotify,,Principal,-7999.00,2026-06-09,00:03:21,,Suscripciones online
Ninina,,Efectivo,-9200.00,2026-06-09,08:08:24,,Bebidas
Heladería Chungo,,Efectivo,-5031.00,2026-06-09,18:17:18,,Aperitivos
Donación mensual,Cruz Roja Argentina,Principal,-8000.00,2026-06-10,11:30:00,,Donaciones
Recital Niceto,,Principal,-28000.00,2026-06-10,22:01:48,,Entretenimiento
SUBE subte,,Principal,-1255.00,2026-06-11,12:44:53,,Transporte
ChatGPT Plus,,Principal,-24900.00,2026-06-12,00:12:00,,Suscripciones online
Cuervo café,,Principal,-5800.00,2026-06-12,08:34:15,,Bebidas
Extracción efectivo,,Principal,-40000.00,2026-06-12,14:47:26,,
Extracción efectivo,,Efectivo,40000.00,2026-06-12,14:47:26,,
Cabify,,Efectivo,-14065.00,2026-06-12,17:09:15,,Transporte
Café Martínez,,Principal,-6200.00,2026-06-13,11:12:07,,Bebidas
Corte de pelo,,Principal,-22538.00,2026-06-13,17:00:00,,Belleza
Ninina,,Principal,-9200.00,2026-06-15,08:49:53,,Bebidas
Jumbo,,Principal,-92140.00,2026-06-15,11:48:58,,Compra
Colectivo,,Principal,-1203.00,2026-06-15,16:06:59,,Transporte
Freelance USD,Cliente en el exterior,Dólares,344.06,2026-06-15,17:40:00,,Nómina
Medialunas,,Efectivo,-4879.00,2026-06-15,17:49:43,,Aperitivos
Starbucks,,Principal,-8100.00,2026-06-16,09:12:31,,Bebidas
Reintegro OSDE,,Principal,61804.00,2026-06-16,11:05:00,,Nómina
Siga la Vaca,,Principal,-53366.00,2026-06-16,21:49:51,,Comer fuera
Panadería,,Efectivo,-4623.00,2026-06-17,17:09:35,,Aperitivos
Don Julio (barra),,Efectivo,-22404.00,2026-06-17,18:28:59,,Comer fuera
SUBE subte,,Principal,-1550.00,2026-06-17,19:40:04,,Transporte
Falabella,,Principal,-85139.00,2026-06-17,20:41:03,,Compras
Personal móvil,,Principal,-28400.00,2026-06-18,09:45:00,,Suministros
Havanna café,,Principal,-7400.00,2026-06-18,10:18:54,,Bebidas
Carrefour,,Principal,-114881.00,2026-06-18,11:34:59,,Compra
Siga la Vaca,,Principal,-17131.00,2026-06-18,13:35:00,,Comer fuera
Reintegro PedidosYa,,Principal,47512.00,2026-06-18,15:14:45,,Nómina
Colectivo,,Efectivo,-1518.00,2026-06-19,16:06:24,,Transporte
PedidosYa,,Principal,-26995.00,2026-06-19,21:20:11,,Comer fuera
Starbucks,,Efectivo,-8100.00,2026-06-20,08:20:32,,Bebidas
Edenor luz,,Principal,-76374.00,2026-06-20,14:10:00,,Suministros
PedidosYa,,Principal,-27125.00,2026-06-21,13:30:39,,Comer fuera
Disco,,Principal,-120777.00,2026-06-21,15:58:16,,Compra
Hoyts,,Principal,-15800.00,2026-06-21,20:18:20,,Entretenimiento
Ninina,,Principal,-9200.00,2026-06-22,08:03:08,,Bebidas
Día,,Principal,-88127.00,2026-06-22,12:56:22,,Compra
AySA agua,,Principal,-18500.00,2026-06-22,13:00:00,,Suministros
BA Taxi,,Efectivo,-13498.00,2026-06-23,19:49:45,,Transporte
Ninina,,Principal,-9200.00,2026-06-24,09:23:05,,Bebidas
Reintegro PedidosYa,,Principal,64925.00,2026-06-24,19:07:23,,Nómina
Falabella,,Principal,-27879.00,2026-06-24,20:38:26,,Compras
SUBE subte,,Principal,-1494.00,2026-06-25,08:19:54,,Transporte
Sueldo,,Principal,3211982.50,2026-06-25,09:15:00,,Nómina
Ninina,,Principal,-9200.00,2026-06-25,11:58:02,,Bebidas
Extracción cajero,,Principal,-80000.00,2026-06-25,12:30:00,,
Extracción cajero,,Efectivo,80000.00,2026-06-25,12:30:00,,
Ahorro mensual,,Principal,-350000.00,2026-06-25,12:35:00,,
Ahorro mensual,,Ahorros,350000.00,2026-06-25,12:35:00,,
Hora extra,,Principal,304837.00,2026-06-25,13:00:13,,Nómina
Cuervo café,,Principal,-5800.00,2026-06-26,10:13:56,,Bebidas
Carrefour,,Principal,-89034.00,2026-06-26,11:33:34,,Compra
Jumbo,,Principal,-56472.00,2026-06-27,11:18:34,,Compra
Partido River,,Principal,-42000.00,2026-06-27,16:38:43,,Entretenimiento
Café Martínez,,Principal,-6200.00,2026-06-28,11:47:35,,Bebidas
Museo MALBA,,Principal,-6000.00,2026-06-28,15:12:12,,Entretenimiento
Cabify,,Principal,-17105.00,2026-06-29,10:44:17,,Transporte
Café Martínez,,Principal,-6200.00,2026-06-29,10:52:01,,Bebidas
Pet shop,,Principal,-44835.00,2026-06-29,17:16:39,,Cuidado de mascotas
Café Martínez,,Efectivo,-6200.00,2026-06-30,08:07:03,,Bebidas
Aguinaldo (1er semestre),,Principal,1600000.00,2026-06-30,09:10:00,,Nómina
Easy,,Principal,-61070.00,2026-06-30,17:44:30,,Compras
Interés caja de ahorro,,Ahorros,10317.02,2026-06-30,23:50:00,,Nómina
Alquiler departamento,"Palermo, CABA",Principal,-850000.00,2026-07-01,08:15:00,,Alquiler
Smart Fit,,Principal,-55000.00,2026-07-01,08:20:00,,Fitness
Cuervo café,,Principal,-5800.00,2026-07-01,09:06:22,,Bebidas
Día,,Principal,-63066.00,2026-07-01,11:15:30,,Compra
Uniqlo,,Principal,-89487.00,2026-07-01,20:44:12,,Compras
Guerrín,,Principal,-24784.00,2026-07-01,22:22:25,,Comer fuera
iCloud+,,Principal,-2499.00,2026-07-02,00:05:12,,Suscripciones online
Havanna café,,Efectivo,-7400.00,2026-07-02,10:13:11,,Bebidas
Jumbo,,Principal,-56084.00,2026-07-02,15:39:16,,Compra
El Club de la Milanesa,,Principal,-39539.00,2026-07-02,20:20:28,,Comer fuera
Cursor Pro,,Dólares,-89.00,2026-07-03,11:05:00,,Suscripciones online
Shell,,Principal,-44600.00,2026-07-03,14:47:10,,Gasolina
Kiosco,,Efectivo,-8693.00,2026-07-03,17:01:38,,Aperitivos
Libros Gandhi,,Principal,-31771.00,2026-07-03,18:37:16,,Aficiones
Havanna café,,Principal,-7400.00,2026-07-04,10:08:49,,Bebidas
SUBE subte,,Principal,-2333.00,2026-07-04,21:12:56,,Transporte
Siga la Vaca,,Principal,-47320.00,2026-07-04,22:16:45,,Comer fuera
Netflix,,Principal,-12999.00,2026-07-05,00:08:40,,Suscripciones online
PedidosYa,,Principal,-38672.00,2026-07-05,12:34:38,,Comer fuera
Cabify,,Principal,-12254.00,2026-07-05,23:43:30,,Transporte
Fibertel internet,,Principal,-45000.00,2026-07-06,10:00:00,,Suministros
Cuervo café,,Principal,-5800.00,2026-07-06,11:57:56,,Bebidas
Don Julio (barra),,Principal,-53186.00,2026-07-06,12:09:10,,Comer fuera
Uber,,Principal,-13157.00,2026-07-06,12:45:02,,Transporte
Coto,,Principal,-84268.00,2026-07-06,13:18:30,,Compra
Café Martínez,,Principal,-6200.00,2026-07-07,09:41:32,,Bebidas
BA Taxi,,Efectivo,-9700.00,2026-07-07,14:30:07,,Transporte
Rappi,,Principal,-44658.00,2026-07-07,22:02:52,,Comer fuera
Colectivo,,Efectivo,-2317.00,2026-07-08,11:28:18,,Transporte
